# z dz sfr err
3.78 0.34 0.118212652562 0.0163316814956
4.92 0.33 0.0761489575758 0.0245475236385
5.74 0.36 0.0834956716409 0.0365286188815
0.35 0.15 0.0248693229769 0.00446657112403
0.8 0.2 0.0458842843568 0.00845219753302
1.35 0.25 0.0646642079677 0.0212919623083
1.5 0.5 0.136667094809 0.0629375230422
2.75 0.75 0.215111665366 0.0990625828004
4.0 0.5 0.0909209495128 0.0523383057473
0.15 0.15 0.0276480153894 0.00318309540432
3.04 0.25 0.112115062286 0.012907723556
4.13 0.3 0.0870289938302 0.0200391663852
0.7 0.2 0.0336251292622 0.00805217102448
1.25 0.25 0.0455684191651 0.0122762440337
0.15 0.15 0.0298995025281 0.0103269223214
0.75 0.25 0.0712301669968 0.0246020281047
1.25 0.25 0.0956453724193 0.033034741312
1.75 0.25 0.0742444445594 0.025643122692
0.35 0.15 0.0202145446319 0.00325819963918
0.625 0.125 0.0379021601679 0.0069818359196
0.875 0.125 0.0733945754302 0.0253495882938
0.9 0.5 0.0691295870389 0.0175094432261
0.025 0.025 0.00854405356759 0.00295101155677
0.2 0.1 0.00954253941671 0.00307615126143
0.3 0.1 0.00831120438767 0.00191372553279
0.4 0.1 0.0374682977282 0.00862739438088
0.5 0.1 0.0667826983232 0.010764099194
0.6 0.1 0.0453590512971 0.00731101527443
0.7 0.1 0.0373821230348 0.00688604153954
0.8 0.1 0.0395971530796 0.00729406515249
0.9 0.1 0.0499647780472 0.00920385224851
1.0 0.1 0.0801058001011 0.0184450421175
1.1 0.1 0.0629019287783 0.0217255565288
1.2 0.1 0.0600708756297 0.0276636605496
0.375 0.125 0.0137931659868 0.00254079507092
0.625 0.125 0.0415588922109 0.0114831462823
0.875 0.125 0.0976481371368 0.0674529434789
2.75 0.75 0.193938468857 0.0669839741022
0.025 0.025 0.0174045966313 0.00440831212282
0.7 0.4 0.0819717038845 0.0207621505753
2.2 0.05 0.185636752586 0.0512933303059
1.25 0.55 0.164309987472 0.00983678092235
0.15 0.15 0.0105843443947 0.00146228121734
0.9 0.1 0.0745871413448 0.0257614859684
1.3 0.6 0.195732959415 0.0540830153468
0.2 0.1 0.0226810921223 0.00313350867682
0.022 0.022 0.00880367420835 0.00405424179914
0.35 0.15 0.0255072690158 0.0158578174977
0.625 0.125 0.0473875180147 0.0272784481437
0.875 0.125 0.0934682179403 0.0559568165775
2.0 1.0 0.103196261068 0.0522759979255
4.5 1.5 0.132942537058 0.122444601621
0.005 0.005 0.00759738198334 0.000524808555018
0.08 0.08 0.0130816932893 0.00240973695672
0.01 0.01 0.01234991483 0.00255930568085
0.07 0.07 0.00840744359872 0.00193588543006
0.28 0.6 0.02855380324 0.011834561104
0.46 0.52 0.046629844001 0.0193264530633
0.6 0.48 0.0534150897607 0.0233686299905
0.81 0.44 0.091973764489 0.0317666128588
1.6 0.4 0.114726557566 0.0396251491834
0.005 0.005 0.0146441430479 3.37193854818e-05
0.24 0.88 0.0267709610711 0.0123284831775
