# z sfr err errpos errneg
2.2 0.226869684787 0.0992534833063 0.0992534833063 0.0803903133646
0.2 0.0223839366299 0.00670031944484 0.00670031944484 0.00579049516551
0.47 0.03019509968 0.00903848223259 0.00903848223259 0.00781116305011
0.75 0.0489707175517 0.0146587017496 0.0146587017496 0.0126682231068
1.1 0.0707842227512 0.0277077383414 0.0277077383414 0.0229282148228
0.3 0.0223839366299 0.00670031944484 0.00670031944484 0.00579049516551
0.5 0.0295077752977 0.00883274125864 0.00883274125864 0.00763335927152
0.7 0.053695324045 0.0160729468522 0.0160729468522 0.0138904304205
0.9 0.0588757520501 0.0230462929316 0.0230462929316 0.0190708584256
1.1 0.0891120567756 0.0348819759014 0.0348819759014 0.0288649122875
1.3 0.112185432772 0.0439138058759 0.0439138058759 0.0363387715879
1.5 0.14788920272 0.0578896705115 0.0578896705115 0.0479038305166
1.7 0.125874125874 0.055068818308 0.055068818308 0.0446029641775
1.9 0.112185432772 0.0490801359789 0.0490801359789 0.0397524336667
2.25 0.0741201803944 0.0324269242686 0.0324269242686 0.0262641724659
2.75 0.0741201803944 0.0324269242686 0.0324269242686 0.0262641724659
3.25 0.0446618252182 0.0277661663028 0.0277661663028 0.0206770049921
3.8 0.014123309215 0.00878043274079 0.00878043274079 0.00653864309657
0.75 0.0758253754467 0.0226972692927 0.0226972692927 0.0196152480776
1.25 0.0883731099247 0.0345927229408 0.0345927229408 0.0286255548222
2.0 0.119212045108 0.0521542168143 0.0521542168143 0.042242284032
3.0 0.104988981388 0.0652714371375 0.0652714371375 0.048606560114
3.8 0.0616504807597 0.0383279790527 0.0383279790527 0.0285422123302
5.0 0.0245434984585 0.0152586432937 0.0152586432937 0.0113628593921
5.9 0.0151333984777 0.0094084031901 0.0094084031901 0.00700628230803
6.8 0.00911877432262 0.00566912353184 0.00566912353184 0.00422170256745
8.0 0.0053695324045 0.00333822742315 0.00333822742315 0.00248592277164
0.3 0.0239160839161 0.00715894638004 0.00715894638004 0.00618684597728
0.5 0.0314685314685 0.00941966628952 0.00941966628952 0.00814058681221
0.7 0.0541258741259 0.016201826018 0.016201826018 0.014001809317
0.9 0.073006993007 0.028577818343 0.028577818343 0.0236482079504
1.1 0.0918881118881 0.0359686334317 0.0359686334317 0.0297641237996
1.4 0.0881118881119 0.0344904704139 0.0344904704139 0.0285409406298
1.8 0.14979020979 0.0655318937865 0.0655318937865 0.0530775273712
2.25 0.144755244755 0.0633291410542 0.0633291410542 0.0512934088041
2.75 0.22027972028 0.0963704320389 0.0963704320389 0.0780551873105
0.025 0.0117472569331 0.00351637763071 0.00351637763071 0.0030388950614
0.13 0.0199497045205 0.00597166599101 0.00597166599101 0.00516078424852
0.28 0.0295077752977 0.00883274125864 0.00883274125864 0.00763335927152
0.44 0.0436451979591 0.0130645816862 0.0130645816862 0.0112905657284
0.58 0.0675984079347 0.0202346412347 0.0202346412347 0.0174870158371
0.87 0.0954852891645 0.028582190446 0.028582190446 0.0247010664133
1.17 0.194955938045 0.0763134482446 0.0763134482446 0.0631495473812
1.4 0.222130810366 0.0869507657494 0.0869507657494 0.0719519511676
0.1 0.0135016047141 0.00404151718699 0.00404151718699 0.00349272686553
0.5 0.0516237827302 0.0154528598326 0.0154528598326 0.0133545438976
1.0 0.0794212042003 0.0310885937461 0.0310885937461 0.0257258801553
2.0 0.158842408401 0.0694921507265 0.0694921507265 0.0562851356667
3.0 0.0794212042003 0.049376001832 0.049376001832 0.0367694922387
4.0 0.0476527225202 0.0296256010992 0.0296256010992 0.0220616953432
5.0 0.0317684816801 0.0197504007328 0.0197504007328 0.0147077968955
4.0 0.15846613575 0.0985180757192 0.0985180757192 0.0733647822045
4.7 0.0630865049321 0.039220752373 0.039220752373 0.0292070458617
0.1 0.0180434731822 0.00540106220876 0.00540106220876 0.00466766172359
2.0 0.106247847039 0.0464824946634 0.0464824946634 0.0376484752724
0.05 0.0161711229947 0.00484060027678 0.00484060027678 0.00418330390538
0.8 0.0666392431098 0.0199475286131 0.0199475286131 0.01723888972
0.5 0.0223839366299 0.00670031944484 0.00670031944484 0.00579049516551
1.0 0.0675984079347 0.0264606846915 0.0264606846915 0.0218962751665
1.5 0.0602471444882 0.023583110055 0.023583110055 0.0195150757837
2.0 0.0741201803944 0.0324269242686 0.0324269242686 0.0262641724659
